#insert_number found notfound insert
0 1 1 1
4750 1.00189 1.00238 1.00479
9500 1.00453 1.00479 1.00964
14250 1.00765 1.00723 1.01456
19000 1.00947 1.00968 1.01957
23750 1.01204 1.01216 1.02466
28500 1.01449 1.01466 1.02981
33250 1.01702 1.01719 1.03503
38000 1.01947 1.01974 1.04029
42750 1.02232 1.02233 1.04568
47500 1.02526 1.02495 1.05111
52250 1.02821 1.0276 1.05664
57000 1.03005 1.03021 1.06217
61750 1.03289 1.03291 1.06789
66500 1.03574 1.03563 1.07372
71250 1.03855 1.03837 1.07959
76000 1.04167 1.04117 1.08564
80750 1.04384 1.04392 1.09168
85500 1.04658 1.04673 1.09785
90250 1.04946 1.04959 1.10411
95000 1.05242 1.05248 1.11048
99750 1.05533 1.05539 1.11698
104500 1.05825 1.05834 1.12353
109250 1.06123 1.06131 1.13018
114000 1.06439 1.06434 1.13705
118750 1.06765 1.06741 1.144
123500 1.07015 1.07041 1.15096
128250 1.0734 1.07354 1.15807
133000 1.07633 1.07665 1.16535
137750 1.07987 1.07988 1.17277
142500 1.08313 1.0831 1.18022
147250 1.08693 1.08643 1.18791
152000 1.09053 1.08976 1.19573
156750 1.09386 1.09309 1.20353
161500 1.09718 1.09645 1.21157
166250 1.10044 1.09982 1.21957
171000 1.10363 1.10322 1.22773
175750 1.10728 1.10673 1.23612
180500 1.11059 1.11021 1.24461
185250 1.11427 1.11379 1.25347
190000 1.11783 1.11739 1.26234
194750 1.12151 1.12104 1.27124
199500 1.1252 1.12473 1.2804
204250 1.12861 1.12839 1.28971
209000 1.13214 1.13212 1.29921
213750 1.13576 1.13589 1.3088
218500 1.13994 1.13983 1.31882
223250 1.14385 1.14374 1.32893
228000 1.14789 1.14772 1.3392
232750 1.15182 1.15171 1.34963
237500 1.15587 1.15577 1.36032
242250 1.15976 1.15983 1.37119
247000 1.16389 1.16398 1.38219
251750 1.16765 1.16808 1.39328
256500 1.17156 1.17226 1.40484
261250 1.17577 1.17655 1.41658
266000 1.18022 1.18094 1.42866
270750 1.18476 1.1854 1.44063
275500 1.18916 1.18987 1.45297
280250 1.194 1.19449 1.46589
285000 1.19862 1.19911 1.47886
289750 1.20316 1.20374 1.49198
294500 1.20792 1.20848 1.50533
299250 1.213 1.21337 1.51914
304000 1.21792 1.21825 1.533
308750 1.22268 1.22313 1.54728
313500 1.22772 1.22814 1.56141
318250 1.23284 1.23323 1.5765
323000 1.23806 1.23839 1.59157
327750 1.24332 1.24362 1.60708
332500 1.24907 1.24907 1.62296
337250 1.25381 1.25422 1.63894
342000 1.25969 1.25982 1.65593
346750 1.26471 1.26516 1.67216
351500 1.27023 1.27074 1.68901
356250 1.27603 1.27646 1.70626
361000 1.28184 1.28224 1.72488
365750 1.28787 1.28816 1.74327
370500 1.29358 1.29402 1.76151
375250 1.29977 1.30011 1.78136
380000 1.30614 1.30633 1.80134
