#insert_number found notfound insert
885550 4.93344 4.92595 40.3807
890525 5.14383 5.13536 44.0118
895500 5.36358 5.35525 48.1142
900475 5.61433 5.60523 53.6108
905450 5.91039 5.89872 59.516
910425 6.22121 6.2086 67.0076
915400 6.56013 6.54731 74.614
920375 6.96844 6.95326 85.1084
925350 7.4237 7.4067 96.8705
930325 7.9615 7.94146 111.257
935300 8.55422 8.53295 131.652
940275 9.2346 9.21276 151.778
945250 10.0302 10.0083 174.748
950225 10.9702 10.9488 208.068
955200 12.0943 12.0746 251.059
960175 13.4697 13.4529 310.935
965150 15.2171 15.204 415.388
970125 17.6639 17.6508 566.235
975100 20.8453 20.8383 762.279
980075 25.0457 25.0562 1084.52
985050 31.9937 32.0224 1685.24
990025 44.334 44.3963 3419.15
995000 71.4976 71.6416 8666.48
999975 83.8728 84.0392 1531.5
1004950 91.2764 91.4544 1672.13
1009925 97.5416 97.7242 1441.79
1014900 102.722 102.92 1119.07
1019875 107.344 107.556 1068.89
1024850 112.101 112.297 1218.72
1029825 118.088 118.286 1403.82
1034800 125.145 125.339 2528.8
1039775 131.803 131.987 1334.94
1044750 139.076 139.234 2058.48
1049725 148.139 148.274 1946.9
1054700 155.553 155.672 1555.36
1059675 161.434 161.557 1259.91
1064650 166.906 167.041 1195.86
1069625 171.815 171.957 1254.79
1074600 176.652 176.806 849.093
1079575 181.131 181.29 1178.07
1084550 185.585 185.731 1358.69
1089525 190.432 190.575 1102.77
1094500 194.952 195.09 1169.85
1099475 198.913 199.063 903.319
1104450 202.574 202.748 1153.91
1109425 206.687 206.856 938.468
1114400 211.029 211.182 1200.77
1119375 216.085 216.241 1101.5
1124350 220.475 220.637 1094.47
1129325 225.744 225.903 1220.54
1134300 230.759 230.937 1240.27
1139275 235.883 236.062 1148.62
1144250 240.062 240.239 1092.54
1149225 244.784 244.955 1198.57
1154200 250.021 250.187 1261.94
1159175 254.693 254.859 1299.15
1164150 260.193 260.369 1230.55
1169125 264.818 265.019 1128.73
1174100 269.87 270.068 1285.46
1179075 274.65 274.843 1251.14
1184050 280.605 280.796 1446.2
1189025 285.302 285.489 1181.87
1194000 289.868 290.049 1051.85
1198975 294.824 294.98 1386.54
1203950 299.396 299.571 1341.99
1208925 303.964 304.126 1194.09
1213900 308.323 308.467 1173.87
1218875 312.816 312.963 1288.78
1223850 318.527 318.666 2326.99
1228825 324.316 324.455 1341.83
1233800 328.247 328.408 1008.97
1238775 332.351 332.493 1150.88
1243750 336.911 337.041 1151.58
1248725 341.689 341.832 1334.79
1253700 346.277 346.401 1262.9
1258675 351.024 351.147 1248.83
1263650 355.219 355.376 1226.25
1268625 359.558 359.722 1286.91
1273600 363.717 363.878 1085.81
1278575 367.756 367.936 1182.76
1283550 372.527 372.714 1028.88
1288525 376.466 376.631 1234.94
1293500 380.305 380.489 1208.68
1298475 384.685 384.863 1202.38
1303450 388.943 389.086 1116.03
1308425 393.03 393.178 1215.1
1313400 397.857 397.994 1370.98
1318375 403.329 403.481 1629.66
1323350 408.477 408.632 1464.99
1328325 414.486 414.643 1553.61
1333300 420.722 420.88 1964.8
1338275 425.642 425.816 1558.12
1343250 430.439 430.614 1291.69
1348225 435.294 435.449 1433.22
1353200 439.706 439.88 1376.01
1358175 443.922 444.109 1178.78
1363150 448.775 448.955 1476.64
1368125 453.91 454.062 1735.63
1373100 458.927 459.084 1575.41
1378075 464.127 464.277 1299.07
1383050 469.445 469.585 1408.2
1388025 474.605 474.755 1556.01
1393000 480.085 480.197 1503.8
1397975 485.294 485.376 1640.86
1402950 490.597 490.669 1399.16
1407925 496.094 496.15 1722.75
1412900 502.355 502.432 1843.29
1417875 507.105 507.177 1459.12
1422850 512.53 512.621 1386.58
1427825 517.524 517.623 1810.94
1432800 522.526 522.668 1569.9
1437775 526.418 526.585 1227.42
1442750 530.352 530.545 1423.89
1447725 534.645 534.827 1301.59
1452700 538.85 539.031 1335.99
