#insert_number found notfound insert
0 1 1 1
4950 1.00242 1.00249 1.00499
9900 1.00475 1.005 1.01005
14850 1.00761 1.00754 1.0152
19800 1.01005 1.0101 1.02043
24750 1.01265 1.01269 1.02574
29700 1.01518 1.0153 1.03112
34650 1.01766 1.01794 1.03657
39600 1.02035 1.02061 1.04211
44550 1.02366 1.02333 1.04773
49500 1.02648 1.02606 1.05344
54450 1.02904 1.02881 1.0592
59400 1.03157 1.03158 1.06504
64350 1.03447 1.03439 1.07109
69300 1.03724 1.03723 1.07715
74250 1.04043 1.04013 1.08339
79200 1.04314 1.04302 1.08971
84150 1.04555 1.04591 1.09606
89100 1.04871 1.04889 1.10257
94050 1.05185 1.0519 1.10922
99000 1.05479 1.05492 1.11597
103950 1.05797 1.058 1.12277
108900 1.0609 1.06108 1.12966
113850 1.06436 1.06425 1.13682
118800 1.06767 1.06744 1.14407
123750 1.07025 1.07057 1.1513
128700 1.07355 1.07382 1.15871
133650 1.07691 1.0771 1.16638
138600 1.08042 1.08045 1.17407
143550 1.08384 1.08381 1.18186
148500 1.08787 1.0873 1.18996
153450 1.09166 1.09079 1.19813
158400 1.09508 1.09426 1.2064
163350 1.09852 1.09777 1.21472
168300 1.10179 1.10128 1.22307
173250 1.10532 1.10487 1.23174
178200 1.109 1.10852 1.24047
183150 1.11278 1.11223 1.24957
188100 1.11653 1.11597 1.25877
193050 1.12034 1.11976 1.26804
198000 1.12408 1.12357 1.27751
202950 1.12757 1.12737 1.28715
207900 1.13129 1.13125 1.29701
212850 1.13515 1.13519 1.30696
217800 1.13919 1.13922 1.31731
222750 1.14348 1.14334 1.32785
227700 1.14752 1.14744 1.33853
232650 1.15175 1.15163 1.34939
237600 1.15597 1.15586 1.36057
242550 1.16004 1.16009 1.3719
247500 1.1644 1.16444 1.38345
252450 1.16818 1.16868 1.39493
257400 1.17254 1.17311 1.40711
262350 1.17681 1.17756 1.41928
267300 1.18149 1.18216 1.43196
272250 1.18606 1.18678 1.44437
277200 1.1909 1.19152 1.45762
282150 1.19572 1.1963 1.47103
287100 1.20078 1.2012 1.48456
292050 1.20528 1.20598 1.49845
297000 1.21049 1.21102 1.51269
301950 1.2159 1.21617 1.52709
306900 1.2208 1.22121 1.54188
311850 1.22598 1.2264 1.55665
316800 1.23132 1.23168 1.57189
321750 1.23668 1.23703 1.58753
326700 1.24221 1.24248 1.60369
331650 1.24811 1.24811 1.62004
336600 1.25314 1.25351 1.63679
341550 1.2591 1.25927 1.65417
346500 1.2645 1.2649 1.6714
351450 1.2702 1.27069 1.68885
356400 1.27621 1.27664 1.70678
361350 1.28223 1.28266 1.72618
366300 1.28847 1.28882 1.74525
371250 1.29468 1.29503 1.76459
376200 1.30097 1.30133 1.78528
381150 1.30764 1.30783 1.80605
386100 1.31433 1.31442 1.82751
391050 1.32075 1.32096 1.84885
396000 1.32719 1.32757 1.87089
400950 1.33454 1.33461 1.89393
405900 1.34121 1.34145 1.91749
410850 1.3484 1.34857 1.94135
415800 1.35536 1.35566 1.96639
420750 1.36324 1.36321 1.99219
425700 1.37057 1.3706 2.01791
430650 1.37825 1.37822 2.04544
435600 1.38571 1.38581 2.07237
440550 1.39406 1.39388 2.10057
445500 1.4018 1.40175 2.12976
450450 1.40978 1.40981 2.15889
455400 1.41815 1.41813 2.1879
460350 1.42644 1.42649 2.21877
465300 1.43454 1.43484 2.25043
470250 1.44336 1.44362 2.28331
475200 1.45286 1.4528 2.31691
480150 1.46167 1.46175 2.35235
485100 1.47102 1.47104 2.38989
490050 1.48035 1.48042 2.427
495000 1.48971 1.48991 2.46476
499950 1.49976 1.49983 2.50511
504900 1.51008 1.50999 2.54595
509850 1.52048 1.52029 2.58693
514800 1.5302 1.53035 2.62942
519750 1.54169 1.54142 2.67483
524700 1.55292 1.55247 2.71933
529650 1.56384 1.56346 2.7655
534600 1.57543 1.57493 2.81401
539550 1.58623 1.58608 2.86333
544500 1.59758 1.59763 2.91408
549450 1.61 1.60989 2.96868
554400 1.62259 1.62236 3.02444
559350 1.63555 1.63517 3.08154
564300 1.64821 1.64794 3.14191
569250 1.66148 1.66117 3.20254
574200 1.6758 1.67515 3.26579
579150 1.69031 1.68937 3.33241
584100 1.70466 1.70364 3.40081
589050 1.71851 1.71776 3.47268
594000 1.73286 1.73232 3.54463
598950 1.74832 1.74768 3.61934
603900 1.76436 1.76355 3.69966
608850 1.78159 1.7803 3.7862
613800 1.79826 1.79688 3.87211
618750 1.81481 1.81354 3.95667
623700 1.83249 1.83107 4.05619
628650 1.85088 1.84923 4.15497
633600 1.8693 1.86759 4.25573
638550 1.88807 1.88635 4.35911
643500 1.90765 1.90582 4.46635
648450 1.92722 1.92548 4.57346
653400 1.94737 1.94571 4.68582
658350 1.96917 1.96723 4.81284
663300 1.99166 1.98942 4.94263
668250 2.01476 2.01224 5.07407
673200 2.03751 2.03505 5.21629
678150 2.06106 2.05863 5.3649
683100 2.08533 2.08294 5.51251
688050 2.11195 2.1091 5.67364
693000 2.14003 2.13654 5.84413
697950 2.1674 2.16376 6.01744
702900 2.19604 2.19215 6.20726
707850 2.22422 2.22049 6.4
712800 2.25394 2.25021 6.59897
717750 2.28569 2.28168 6.81082
722700 2.31708 2.31321 7.04047
727650 2.34846 2.34503 7.26936
732600 2.38207 2.37881 7.54158
737550 2.41611 2.41323 7.80894
742500 2.45217 2.44949 8.08964
747450 2.49244 2.48925 8.39621
752400 2.53357 2.53006 8.69177
757350 2.57474 2.5713 9.01589
762300 2.62026 2.61627 9.39644
767250 2.66427 2.66054 9.75866
772200 2.71041 2.70688 10.1425
777150 2.75852 2.75521 10.5732
782100 2.81085 2.80732 11.0826
787050 2.86789 2.86365 11.6389
792000 2.92313 2.91912 12.1406
