#insert_number found notfound insert
0 1 1 1
4900 1.00224 1.00246 1.00494
9800 1.00469 1.00495 1.00995
14700 1.00755 1.00746 1.01504
19600 1.00974 1.00999 1.02021
24500 1.01241 1.01255 1.02547
29400 1.01497 1.01514 1.0308
34300 1.01758 1.01775 1.03619
39200 1.02005 1.02039 1.04166
44100 1.02338 1.02308 1.04721
49000 1.02629 1.02579 1.05286
53900 1.02883 1.0285 1.05855
58800 1.03121 1.03124 1.06433
63700 1.03427 1.03403 1.07031
68600 1.03694 1.03683 1.07631
73500 1.03995 1.03969 1.08245
78400 1.04267 1.04255 1.0887
83300 1.04511 1.04541 1.09497
88200 1.04799 1.04833 1.10137
93100 1.05117 1.05131 1.10793
98000 1.05424 1.05432 1.11459
102900 1.05724 1.05734 1.1213
107800 1.06031 1.0604 1.12813
112700 1.06333 1.06349 1.1351
117600 1.06682 1.06666 1.14232
122500 1.06974 1.06979 1.14949
127400 1.07293 1.07299 1.15682
132300 1.07596 1.0762 1.16427
137200 1.07934 1.07949 1.17189
142100 1.08291 1.08283 1.17961
147000 1.08673 1.08625 1.1875
151900 1.09047 1.08969 1.19557
156800 1.09392 1.09313 1.20362
161700 1.09728 1.09658 1.21189
166600 1.1008 1.10009 1.22021
171500 1.10416 1.10361 1.22864
176400 1.10774 1.10721 1.23723
181300 1.11126 1.11082 1.24619
186200 1.11504 1.11452 1.2552
191100 1.11871 1.11824 1.26437
196000 1.1225 1.12201 1.27364
200900 1.12638 1.12584 1.28319
205800 1.12981 1.12961 1.29283
210700 1.13358 1.1335 1.30265
215600 1.13727 1.1374 1.31267
220500 1.14148 1.14145 1.323
225400 1.1455 1.1455 1.3335
230300 1.14973 1.14963 1.34426
235200 1.15404 1.15383 1.35511
240100 1.15827 1.15805 1.3664
245000 1.16209 1.16221 1.37753
249900 1.16614 1.16647 1.38891
254800 1.17 1.17072 1.40056
259700 1.17444 1.17515 1.41279
264600 1.17887 1.17963 1.42503
269500 1.18364 1.18424 1.4375
274400 1.18815 1.18883 1.45009
279300 1.19301 1.19356 1.46339
284200 1.19785 1.19833 1.47675
289100 1.20257 1.20311 1.49013
294000 1.2073 1.20795 1.50388
298900 1.21248 1.21296 1.51811
303800 1.21769 1.21803 1.53239
308700 1.22267 1.22309 1.54716
313600 1.22784 1.22825 1.56168
318500 1.23312 1.2335 1.57725
323400 1.23848 1.23883 1.59288
328300 1.24408 1.24428 1.60878
333200 1.2498 1.24983 1.62531
338100 1.25489 1.25523 1.64194
343000 1.26078 1.26095 1.65941
347900 1.26616 1.26655 1.67632
352800 1.27163 1.27223 1.69357
357700 1.27785 1.27824 1.71164
362600 1.28381 1.28421 1.73094
367500 1.29003 1.29034 1.75
372400 1.29614 1.29648 1.76947
377300 1.3023 1.30271 1.78995
382200 1.30927 1.3093 1.81058
387100 1.31557 1.31571 1.83175
392000 1.32194 1.3222 1.85315
396900 1.32864 1.32889 1.87528
401800 1.33571 1.33579 1.89819
406700 1.34245 1.34262 1.92146
411600 1.34956 1.34968 1.94532
416500 1.35641 1.3567 1.96997
421400 1.36412 1.36414 1.9956
426300 1.37145 1.3715 2.02097
431200 1.37897 1.37901 2.04829
436100 1.38652 1.38661 2.07498
441000 1.39488 1.39464 2.10359
445900 1.40245 1.4024 2.13211
450800 1.41046 1.41043 2.16081
455700 1.41867 1.41864 2.18984
460600 1.42687 1.42692 2.22019
465500 1.43497 1.43523 2.25183
470400 1.44377 1.44395 2.28422
475300 1.45297 1.45295 2.31738
480200 1.46181 1.46186 2.35281
485100 1.47102 1.47104 2.38989
490000 1.48026 1.48033 2.42657
494900 1.48957 1.48974 2.46402
499800 1.49944 1.49952 2.504
504700 1.50959 1.50954 2.54424
509600 1.51985 1.51972 2.58489
514500 1.52983 1.52985 2.6269
519400 1.54091 1.54065 2.67163
524300 1.55192 1.55152 2.71523
529200 1.56282 1.56244 2.76142
534100 1.57443 1.57385 2.81003
539000 1.58482 1.58472 2.85742
543900 1.59629 1.59627 2.90796
548800 1.60828 1.60822 2.961
553700 1.62071 1.62054 3.01718
558600 1.63347 1.63316 3.07223
563500 1.64597 1.64575 3.13108
568400 1.6593 1.65895 3.19245
573300 1.67328 1.67264 3.25309
578200 1.68751 1.68662 3.31778
583100 1.70189 1.70082 3.38596
588000 1.71549 1.71471 3.45716
592900 1.72968 1.72908 3.52724
597800 1.74494 1.74423 3.60224
602700 1.76015 1.75949 3.68041
607600 1.77723 1.77604 3.76503
612500 1.79432 1.79277 3.85175
617400 1.81022 1.80893 3.93313
622300 1.82716 1.82589 4.02792
627200 1.84485 1.84349 4.12394
632100 1.86341 1.86181 4.22525
637000 1.88245 1.88062 4.32922
641900 1.90134 1.89952 4.42903
646800 1.92051 1.91879 4.53485
651700 1.94065 1.93887 4.65038
