#1,339,32
#1,52,32
#1,28,32
#1,29,32
1,112,32,262.819
#2,56,32
#2,35,32
#2,32,32
#2,33,32
2,39,32,19.7484
#3,46,64
#3,37,64
#3,36,64
#3,36,64
3,38.75,64,8.4113
#4,48,64
#4,40,64
#4,39,64
#4,38,64
4,41.25,64,7.92149
#5,62,64
#5,56,64
#5,42,64
#5,43,64
5,50.75,64,17.0514
#6,60,64
#6,60,64
#6,43,64
#6,44,64
6,51.75,64,16.5151
#7,49,128
#7,48,128
#7,47,128
#7,46,128
7,47.5,128,2.23607
#8,55,128
#8,52,128
#8,50,128
#8,49,128
8,51.5,128,4.58258
#9,56,128
#9,57,128
#9,52,128
#9,52,128
9,54.25,128,4.55522
#10,62,128
#10,61,128
#10,60,128
#10,59,128
10,60.5,128,2.23607
#12,70,128
#12,66,128
#12,62,128
#12,62,128
12,65,128,6.63325
#14,84,128
#14,83,128
#14,90,128
#14,69,128
14,81.5,128,15.3948
#16,117,256
#16,81,256
#16,75,256
#16,74,256
16,86.75,256,35.3377
#19,107,256
#19,100,256
#19,85,256
#19,83,256
19,93.75,256,20.168
#22,138,256
#22,131,256
#22,95,256
#22,95,256
22,114.75,256,39.8089
#26,114,512
#26,129,512
#26,118,512
#26,120,512
26,120.25,512,10.9886
#31,132,512
#31,131,512
#31,129,512
#31,128,512
31,130,512,3.16228
#37,173,512
#37,161,512
#37,179,512
#37,146,512
37,164.75,512,25.2339
#44,221,512
#44,208,512
#44,186,512
#44,165,512
44,195,512,42.7317
#52,219,1024
#52,221,1024
#52,212,1024
#52,194,1024
52,211.5,1024,21.2838
#62,223,1024
#62,240,1024
#62,241,1024
#62,225,1024
62,232.25,1024,16.5756
#74,313,1024
#74,301,1024
#74,300,1024
#74,289,1024
74,300.75,1024,16.9926
#88,407,1024
#88,432,1024
#88,369,1024
#88,328,1024
88,384,1024,78.702
#105,473,2048
#105,451,2048
#105,404,2048
#105,362,2048
105,422.5,2048,85.8196
#126,459,2048
#126,465,2048
#126,443,2048
#126,426,2048
126,448.25,2048,30.3109
#151,584,2048
#151,587,2048
#151,541,2048
#151,516,2048
151,557,2048,59.716
#181,801,2048
#181,796,2048
#181,740,2048
#181,660,2048
181,749.25,2048,113.643
#217,770,4096
#217,811,4096
#217,799,4096
#217,747,4096
217,781.75,4096,49.9875
#260,973,4096
#260,1012,4096
#260,967,4096
#260,905,4096
260,964.25,4096,76.6469
#312,1334,4096
#312,1310,4096
#312,1146,4096
#312,1079,4096
312,1217.25,4096,215.459
#374,1932,4096
#374,1856,4096
#374,1441,4096
#374,1347,4096
374,1644,4096,507.253
#448,1771,8192
#448,1766,8192
#448,1642,8192
