#1,288,256
#1,47,256
#1,28,256
#1,26,256
#1,29,256
1,83.6,256,204.957
#2,59,256
#2,44,256
#2,39,256
#2,37,256
#2,37,256
2,43.2,256,16.6084
#3,62,256
#3,56,256
#3,47,256
#3,45,256
#3,45,256
3,51,256,13.6821
#4,63,256
#4,58,256
#4,56,256
#4,54,256
#4,52,256
4,56.6,256,7.54718
#5,73,256
#5,74,256
#5,86,256
#5,64,256
#5,62,256
5,71.8,256,17.0833
#6,86,256
#6,89,256
#6,77,256
#6,70,256
#6,68,256
6,78,256,16.7332
#7,76,256
#7,84,256
#7,80,256
#7,82,256
#7,75,256
7,79.4,256,6.88186
#8,103,256
#8,108,256
#8,94,256
#8,88,256
#8,85,256
8,95.6,256,17.4631
#9,130,256
#9,124,256
#9,121,256
#9,109,256
#9,101,256
9,117,256,21.0523
#10,133,256
#10,119,256
#10,105,256
#10,104,256
#10,104,256
10,113,256,23.013
#11,133,256
#11,128,256
#11,124,256
#11,125,256
#11,115,256
11,125,256,11.7983
#12,122,256
#12,124,256
#12,124,256
#12,119,256
#12,122,256
12,122.2,256,3.66606
#13,396,384
#13,368,384
#13,276,384
#13,317,384
#13,250,384
13,321.4,384,109.234
#14,362,384
#14,267,384
#14,259,384
#14,262,384
#14,255,384
14,281,384,81.3781
#15,184,384
#15,157,384
#15,137,384
#15,139,384
#15,132,384
15,149.8,384,38.145
#16,166,384
#16,141,384
#16,139,384
#16,145,384
#16,137,384
16,145.6,384,21.0751
#17,240,384
#17,161,384
#17,143,384
#17,141,384
#17,143,384
17,165.6,384,75.8061
#18,213,384
#18,172,384
#18,156,384
#18,156,384
#18,145,384
18,168.4,384,47.8096
#19,244,384
#19,178,384
#19,164,384
#19,162,384
#19,159,384
19,181.4,384,63.945
#20,165,384
#20,167,384
#20,147,384
#20,145,384
#20,144,384
20,153.6,384,20.3804
#21,165,384
#21,162,384
#21,162,384
#21,168,384
#21,163,384
21,164,384,4.5607
#22,188,384
#22,188,384
#22,187,384
#22,189,384
#22,185,384
22,187.4,384,2.71293
#23,276,384
#23,205,384
#23,168,384
#23,169,384
#23,169,384
23,197.4,384,83.4899
#24,281,384
#24,217,384
#24,214,384
