1,430,9
2,207,27
3,122,27
4,98,63
5,221,63
6,141,63
7,134,63
8,170,135
9,143,135
10,128,135
11,161,135
12,145,135
13,127,135
14,285,135
15,134,279
16,134,279
17,235,279
18,166,279
19,243,279
20,181,279
21,384,279
22,205,279
23,231,279
24,272,279
25,344,279
26,687,279
27,480,279
28,272,279
29,266,567
30,219,567
31,288,567
32,278,567
33,243,567
34,337,567
35,236,567
36,321,567
37,281,567
38,324,567
39,321,567
40,362,567
41,354,567
42,321,567
43,312,567
44,504,567
45,333,567
46,437,567
47,508,567
48,547,567
49,381,567
50,411,567
51,643,567
52,950,567
53,945,567
54,598,567
55,883,567
56,832,567
57,403,1143
58,432,1143
59,424,1143
60,512,1143
61,475,1143
62,470,1143
63,500,1143
64,451,1143
65,398,1143
66,449,1143
67,566,1143
68,496,1143
69,619,1143
70,510,1143
71,477,1143
72,588,1143
73,467,1143
74,488,1143
75,789,1143
76,859,1143
77,766,1143
78,1040,1143
79,863,1143
80,573,1143
81,656,1143
82,529,1143
83,624,1143
84,707,1143
85,808,1143
86,583,1143
87,607,1143
88,514,1143
89,633,1143
90,880,1143
91,803,1143
92,761,1143
93,835,1143
94,994,1143
95,873,1143
96,681,1143
97,852,1143
98,1191,1143
99,683,1143
100,1279,1143
101,933,1143
102,1686,1143
103,1457,1143
104,837,1143
105,1917,1143
106,1332,1143
107,978,1143
108,1702,1143
109,2013,1143
110,2079,1143
111,1889,1143
112,1370,1143
113,733,2295
114,820,2295
115,609,2295
116,630,2295
117,728,2295
118,1094,2295
119,1346,2295
120,1360,2295
121,779,2295
122,754,2295
123,726,2295
124,783,2295
125,802,2295
126,754,2295
127,776,2295
128,1252,2295
129,763,2295
130,857,2295
131,827,2295
132,795,2295
133,1484,2295
134,894,2295
135,886,2295
136,860,2295
137,735,2295
138,874,2295
139,866,2295
140,987,2295
141,851,2295
142,1012,2295
143,833,2295
144,971,2295
145,988,2295
146,962,2295
147,888,2295
148,848,2295
149,999,2295
150,975,2295
151,917,2295
152,872,2295
153,1132,2295
154,1271,2295
155,986,2295
156,1599,2295
157,1581,2295
158,1321,2295
159,1170,2295
160,1059,2295
161,1337,2295
162,1297,2295
163,1107,2295
164,1221,2295
165,1201,2295
166,1578,2295
167,1160,2295
168,1240,2295
169,1524,2295
170,1292,2295
171,1170,2295
172,1416,2295
173,1762,2295
174,1103,2295
175,1632,2295
176,1212,2295
177,1270,2295
178,1269,2295
179,1474,2295
180,1320,2295
181,2170,2295
